adaptation_fraction,repeat,adaptation_n,evaluation_n,method,score_threshold,platt_slope,platt_intercept,brier,log_loss,accuracy,balanced_accuracy,macro_f1,fake_recall,real_recall,predicted_real_rate
0.05,170,1029,19558,adaptation_balanced_accuracy_threshold,-0.7192581420979879,,,,,0.641987933326516,0.4939262876404251,0.49388114295537033,0.21829429960229785,0.7695582756785524,0.772369362920544
0.05,170,1029,19558,adaptation_platt_probability_0.5,,0.0027457155070918053,1.2019596989956796,0.17786133936528717,0.5409785370108753,0.7685857449636977,0.5,0.4345764671870483,0.0,1.0,1.0
0.05,171,1029,19558,locked_zero_threshold,0.0,,,,,0.4358830146231721,0.5166600837641518,0.426611478783944,0.6670349094122846,0.36628525811601914,0.35857449636977196
0.05,171,1029,19558,adaptation_balanced_accuracy_threshold,-0.5263456112425112,,,,,0.597504857347377,0.5026667222460401,0.4972430369008907,0.3261157755192223,0.679217668972858,0.6779834338889457
0.05,171,1029,19558,adaptation_platt_probability_0.5,,-0.0227066803871889,1.1957980536465336,0.17787472780327138,0.5410150875409163,0.7685857449636977,0.5,0.4345764671870483,0.0,1.0,1.0
0.05,172,1029,19558,locked_zero_threshold,0.0,,,,,0.4350138050925452,0.5150136771117477,0.4256442941148206,0.6639416703490941,0.36608568387440127,0.3591369260660599
0.05,172,1029,19558,adaptation_balanced_accuracy_threshold,-0.08000052805095903,,,,,0.46206156048675734,0.5173990140814928,0.44508362796973605,0.620415377817057,0.4143826503459287,0.4063298905818591
0.05,172,1029,19558,adaptation_platt_probability_0.5,,-0.10842975846946178,1.1731493409625122,0.17807733670661366,0.5415681624749423,0.7685857449636977,0.5,0.4345764671870483,0.0,1.0,1.0
0.05,173,1029,19558,locked_zero_threshold,0.0,,,,,0.43567849473361286,0.5160637715692455,0.426342843205443,0.66570923552806,0.3664183076104311,0.3589835361488905
0.05,173,1029,19558,adaptation_balanced_accuracy_threshold,-0.11222732785106226,,,,,0.4722875549647203,0.5153267079427785,0.45104879117905017,0.5954485196641626,0.43520489622139436,0.42811125881992024
0.05,173,1029,19558,adaptation_platt_probability_0.5,,-0.01761490425906212,1.1968903833993019,0.17787028687564438,0.5410030319969641,0.7685857449636977,0.5,0.4345764671870483,0.0,1.0,1.0
0.05,174,1029,19558,locked_zero_threshold,0.0,,,,,0.4342979854790878,0.5147796352315531,0.42506866558150747,0.6646045072912063,0.36495476317189995,0.35811432661826365
0.05,174,1029,19558,adaptation_balanced_accuracy_threshold,-0.24598832569036222,,,,,0.5144697821863177,0.508949989029149,0.4719810757562809,0.4986743261157755,0.5192256519425226,0.5150833418549954
0.05,174,1029,19558,adaptation_platt_probability_0.5,,0.18388759819635792,1.247428932772512,0.17842243600318325,0.5424436206341955,0.7685857449636977,0.5000772104500825,0.4347935322244566,0.0002209456473707468,0.9999334752527941,0.9998977400552204
0.05,175,1029,19558,locked_zero_threshold,0.0,,,,,0.4345536353410369,0.51533199934998,0.42536628123988485,0.66570923552806,0.36495476317189995,0.35785867675631455
0.05,175,1029,19558,adaptation_balanced_accuracy_threshold,0.20514133839265405,,,,,0.3733510583904285,0.5105704824846191,0.3731291238761113,0.7660185594343791,0.255122405534859,0.25023008487575416
0.05,175,1029,19558,adaptation_platt_probability_0.5,,0.08990903675798179,1.224765579532095,0.17798418236124167,0.5413027654121845,0.7685857449636977,0.5,0.4345764671870483,0.0,1.0,1.0
0.05,176,1029,19558,locked_zero_threshold,0.0,,,,,0.4358830146231721,0.5168145046643167,0.42664176697719536,0.6674768007070261,0.36615220862160724,0.3583699764802127
0.05,176,1029,19558,adaptation_balanced_accuracy_threshold,-0.3271491396519469,,,,,0.5396768585744963,0.5082076192971271,0.4828155962187397,0.4496243923994697,0.5667908461947845,0.562992125984252
0.05,176,1029,19558,adaptation_platt_probability_0.5,,-0.04901577058684842,1.190467168073998,0.17791157655486908,0.5411150686189259,0.7685857449636977,0.5,0.4345764671870483,0.0,1.0,1.0
0.05,177,1029,19558,locked_zero_threshold,0.0,,,,,0.43603640454034154,0.5157561350338897,0.4265463054959634,0.6641626159964649,0.36734965407131454,0.3600572655690766
0.05,177,1029,19558,adaptation_balanced_accuracy_threshold,0.10228191495465488,,,,,0.40234175273545353,0.5122123179491352,0.399346992003743,0.7167476800707026,0.3076769558275679,0.30202474690663667
0.05,177,1029,19558,adaptation_platt_probability_0.5,,0.06207972440276708,1.2193141093394568,0.17791659744485264,0.5411238717070755,0.7685857449636977,0.5,0.4345764671870483,0.0,1.0,1.0
0.05,178,1029,19558,locked_zero_threshold,0.0,,,,,0.4355251048164434,0.5162728262487662,0.4262704219872575,0.6665930181175431,0.36595263437998937,0.3584211064526025
0.05,178,1029,19558,adaptation_balanced_accuracy_threshold,0.07086509233394578,,,,,0.41180079762756927,0.513347177810331,0.4073441800813335,0.7023862129916041,0.324308142629058,0.31813068820942836
0.05,178,1029,19558,adaptation_platt_probability_0.5,,-0.05708444187284515,1.1860638507479457,0.17792732516343182,0.5411581325182564,0.7685857449636977,0.5,0.4345764671870483,0.0,1.0,1.0
0.05,179,1029,19558,locked_zero_threshold,0.0,,,,,0.4347581552305962,0.5147701547936504,0.4254072783941445,0.6637207247017234,0.3658195848855774,0.3589835361488905
0.05,179,1029,19558,adaptation_balanced_accuracy_threshold,-0.4911868957600868,,,,,0.586716433173126,0.5012847242718259,0.493863453539844,0.3422448077772868,0.6603246407663651,0.6597300337457818
0.05,179,1029,19558,adaptation_platt_probability_0.5,,0.14338116055857722,1.241921726891183,0.1781948916756829,0.5418564246270259,0.7685857449636977,0.5,0.4345764671870483,0.0,1.0,1.0
0.05,180,1029,19558,locked_zero_threshold,0.0,,,,,0.4355762347888332,0.5163832990724516,0.4263299615391335,0.6668139637649139,0.36595263437998937,0.3583699764802127
